Date,# Txns,Sales U,Sales $
18-Apr-2016,50146.00,183688.84,2593513.95
19-Apr-2016,56005.00,200523.04,3209613.45
20-Apr-2016,48830.00,194442.30,2508210.91
21-Apr-2016,48485.00,195550.84,2470058.17
22-Apr-2016,57505.00,236062.58,3364502.07
23-Apr-2016,57873.00,271372.37,4028085.87
24-Apr-2016,47004.00,217445.67,3147044.55
25-Apr-2016,45286.00,178059.91,2245250.89
26-Apr-2016,49728.00,197803.03,2621590.27
27-Apr-2016,58590.00,255853.75,3600289.63
28-Apr-2016,57909.00,243434.62,3148062.63
29-Apr-2016,75531.00,331050.56,5273367.11
30-Apr-2016,70575.00,342267.14,5387788.38
1-May-2016,59144.00,284782.50,4310798.18
2-May-2016,51950.00,213259.40,2523899.42
3-May-2016,52919.00,214719.22,2600528.87
4-May-2016,65905.00,244099.27,3826008.99
5-May-2016,60218.00,228453.76,3130651.98
6-May-2016,68256.00,259103.87,3921120.98
7-May-2016,74361.00,313823.64,5015348.02
8-May-2016,51203.00,209460.89,3180215.09
9-May-2016,48804.00,178407.46,2233939.01
10-May-2016,53830.00,194845.65,2578067.72
11-May-2016,50720.00,200170.56,3147700.84
12-May-2016,55074.00,225572.59,3055122.77
13-May-2016,63458.00,263849.48,3824321.32
14-May-2016,63584.00,289049.70,4396954.12
15-May-2016,51399.00,235614.65,3396459.68
16-May-2016,48281.00,189168.93,2399667.53
17-May-2016,47824.00,188011.03,2427698.48
18-May-2016,51216.00,208722.43,2908977.27
19-May-2016,51902.00,207579.41,2739309.18
20-May-2016,57853.00,236825.02,3219118.31
21-May-2016,57920.00,267424.57,3879677.48
22-May-2016,47310.00,215816.15,3143627.52
23-May-2016,46571.00,185501.98,2339930.69
24-May-2016,48731.00,191319.04,2590004.82
25-May-2016,68625.00,343112.74,4010697.30
26-May-2016,63687.00,291992.09,3374722.12
27-May-2016,71015.00,335828.35,4170374.37
28-May-2016,71381.00,356710.42,5008127.00
29-May-2016,56167.00,278805.81,3883549.83
30-May-2016,46194.00,246515.96,3362371.23
31-May-2016,55489.00,268469.20,2877274.56
1-Jun-2016,54995.00,228457.71,2801740.44
2-Jun-2016,55746.00,234824.18,2783334.83
3-Jun-2016,61129.00,255343.69,3193609.99
4-Jun-2016,57395.00,261631.94,3432223.87
5-Jun-2016,48225.00,217988.21,2837859.35
6-Jun-2016,46823.00,183890.66,2168257.68
7-Jun-2016,49526.00,195331.48,2395695.04
8-Jun-2016,51970.00,204310.90,2812685.53
9-Jun-2016,52151.00,205655.02,2686509.32
10-Jun-2016,58930.00,238064.62,3118289.23
11-Jun-2016,55776.00,248490.50,3388668.57
12-Jun-2016,44975.00,199645.28,2608939.77
13-Jun-2016,46255.00,178444.49,2117391.10
