Date,Txns,Sales
6-Jun-2016,46823,2168258
7-Jun-2016,49526,2395695
8-Jun-2016,51970,2812686
9-Jun-2016,52151,2686509
10-Jun-2016,58930,3118289
11-Jun-2016,55776,3388669
12-Jun-2016,44975,2608940
13-Jun-2016,46255,2117391
14-Jun-2016,53129,2551027
15-Jun-2016,70343,5686330
16-Jun-2016,62876,4279203
17-Jun-2016,69963,4890362
18-Jun-2016,72812,5976605
19-Jun-2016,53747,4020650
20-Jun-2016,55787,3186164
21-Jun-2016,60396,3811057
22-Jun-2016,49360,2299340
23-Jun-2016,50252,2398805
24-Jun-2016,56710,2892047
25-Jun-2016,54519,3341944
26-Jun-2016,43989,2606403
27-Jun-2016,45264,2010146
28-Jun-2016,50885,2389347
29-Jun-2016,65554,4411441
30-Jun-2016,69979,4319320
1-Jul-2016,76930,5107254
2-Jul-2016,70729,5156490
3-Jul-2016,56422,3918358
4-Jul-2016,38443,2548330
5-Jul-2016,51261,2743070
6-Jul-2016,53870,2571805
7-Jul-2016,55540,2750171
8-Jul-2016,58632,2958188
9-Jul-2016,58556,3353464
10-Jul-2016,50350,2827496
11-Jul-2016,48133,2190117
12-Jul-2016,49297,2177818
13-Jul-2016,54973,3596011
14-Jul-2016,60231,3714598
15-Jul-2016,66921,4301936
16-Jul-2016,73911,5703206
17-Jul-2016,61273,4788722
18-Jul-2016,49073,2453724
19-Jul-2016,51643,2764949
20-Jul-2016,48647,2292172
21-Jul-2016,48419,2309623
22-Jul-2016,55667,2783375
23-Jul-2016,53862,3301769
24-Jul-2016,43769,2579111
25-Jul-2016,45558,2083434
26-Jul-2016,47012,2198585
27-Jul-2016,54614,3223210
28-Jul-2016,52708,2861383
29-Jul-2016,64888,3849350
30-Jul-2016,63300,4423536
31-Jul-2016,53414,3590013
1-Aug-2016,51152,2636308
2-Aug-2016,53230,2946868
3-Aug-2016,60000,3362513
4-Aug-2016,57978,3207273
5-Aug-2016,60257,3351399
6-Aug-2016,58766,3695176
7-Aug-2016,49611,2949142
8-Aug-2016,45249,2087827
9-Aug-2016,45200,2084202
10-Aug-2016,60224,4488280
11-Aug-2016,57249,3806650
12-Aug-2016,68212,4567510
13-Aug-2016,70078,5633644
14-Aug-2016,57446,4392583
15-Aug-2016,56459,3435919
16-Aug-2016,61332,4057255
17-Aug-2016,49948,2567369
18-Aug-2016,51086,2588098
19-Aug-2016,58128,3207366
20-Aug-2016,57043,3562174
21-Aug-2016,46909,2788355
22-Aug-2016,42011,2027831
23-Aug-2016,47088,2342102
24-Aug-2016,53662,3264207
25-Aug-2016,52014,2764956
26-Aug-2016,59104,3172071
27-Aug-2016,57347,3807087
28-Aug-2016,47418,3016672
29-Aug-2016,46972,2184622
30-Aug-2016,47345,2393960
31-Aug-2016,62472,3569228
1-Sep-2016,65410,3661242
2-Sep-2016,64279,3989672
3-Sep-2016,61621,4604277
4-Sep-2016,50930,3685549
5-Sep-2016,45009,3334207
6-Sep-2016,49982,2525798
7-Sep-2016,47995,2301153
8-Sep-2016,47483,2246172
9-Sep-2016,53962,2643725
10-Sep-2016,55069,3304081
11-Sep-2016,43110,2364941
12-Sep-2016,42523,1837203
13-Sep-2016,44587,1961533
14-Sep-2016,53004,3157668
15-Sep-2016,52031,2854777
16-Sep-2016,65373,4415142
17-Sep-2016,65466,5128931
18-Sep-2016,44291,2986217
19-Sep-2016,43353,2163939
20-Sep-2016,44773,2256479
21-Sep-2016,45630,2360810
22-Sep-2016,46938,2522208
23-Sep-2016,56123,3174219
24-Sep-2016,55228,3795378
25-Sep-2016,43746,2887768
26-Sep-2016,42275,2182470
27-Sep-2016,45361,2409724
28-Sep-2016,52231,2807455
29-Sep-2016,56015,3056347
30-Sep-2016,61882,3473432
1-Oct-2016,61806,4110193
2-Oct-2016,48927,3107415
3-Oct-2016,47385,2239109
4-Oct-2016,49944,2490054
5-Oct-2016,50706,2704275
6-Oct-2016,46288,2367715
7-Oct-2016,49675,2777713
8-Oct-2016,47030,3023711
9-Oct-2016,35743,2176240
10-Oct-2016,37160,2036072
11-Oct-2016,45680,2007529
12-Oct-2016,58776,4497416
13-Oct-2016,61848,4145580
14-Oct-2016,65363,4498965
15-Oct-2016,66875,5499406
16-Oct-2016,54526,4327325
17-Oct-2016,52778,3217513
18-Oct-2016,61352,4265991
19-Oct-2016,45594,2149218
20-Oct-2016,46487,2101718
21-Oct-2016,56991,3066119
22-Oct-2016,53131,3407220
23-Oct-2016,43788,2754885
24-Oct-2016,41789,1823425
25-Oct-2016,43668,2037393
26-Oct-2016,44826,2023369
27-Oct-2016,50789,2644067
28-Oct-2016,61159,3642137
29-Oct-2016,62516,4240678
30-Oct-2016,50295,3416371
31-Oct-2016,47961,2104679
1-Nov-2016,47261,2355494
2-Nov-2016,49797,2815508
3-Nov-2016,49459,2610652
4-Nov-2016,57721,3255561
5-Nov-2016,57169,3784373
6-Nov-2016,44335,2777080
7-Nov-2016,41996,1908077
8-Nov-2016,41750,1900851
9-Nov-2016,55136,3936151
10-Nov-2016,61271,4023514
11-Nov-2016,64226,5561916
12-Nov-2016,68075,5385122
13-Nov-2016,53114,4057517
14-Nov-2016,54899,3299866
15-Nov-2016,61868,4155605
16-Nov-2016,59603,3431459
17-Nov-2016,58523,2961426
18-Nov-2016,67533,4364940
19-Nov-2016,66458,4675928
20-Nov-2016,53484,3662183
21-Nov-2016,53329,3055436
22-Nov-2016,58266,3419757
23-Nov-2016,66146,4065243
24-Nov-2016,742,17641
25-Nov-2016,171117,33376914
26-Nov-2016,90142,8881436
27-Nov-2016,70685,6546186
28-Nov-2016,52094,2599049
29-Nov-2016,49394,2433519
30-Nov-2016,55875,2845827
1-Dec-2016,57726,2955190
2-Dec-2016,89515,7601271
3-Dec-2016,91087,8517458
4-Dec-2016,80976,7589196
5-Dec-2016,56420,3151361
6-Dec-2016,58706,3377335
7-Dec-2016,61347,3545015
8-Dec-2016,64046,3755630
9-Dec-2016,72361,4515781
10-Dec-2016,79202,5916896
