PO_ID,Item_num,Item_desc,Txns,Sls_U,Sls_$
640288304,10312514,JUNGLE BOOK LIVE ACTION BD DVD DGTL,1.00,8.00,215.92
640288320,10467997,ARROW 4TH SEASON,1.00,8.00,319.92
640288320,10004687,BLACK SAILS 2ND SEASON,1.00,8.00,319.92
640288320,9963372,ARROW 3RD SEASON,1.00,8.00,239.92
640288392,10170026,GAME OF THRONES 5TH SEASON,1.00,8.00,439.92
640288434,10696994,TYLER PERRY MADEA ON THE RUN,1.00,8.00,103.92
640288508,9472607,SNOWPIERCER BD,1.00,8.00,144.32
640288598,10697026,TYLER PERRY BOO A MADEA HALLOWEEN,1.00,8.00,189.92
640288598,10696994,TYLER PERRY MADEA ON THE RUN,1.00,8.00,98.72
640288623,10637774,INFERNO BD UV 1/24/17,1.00,8.00,199.92
640288745,10082106,IN THE LINE OF FIRE THE DEVILS OWN 2 PACK BACK TO,1.00,8.00,79.92
640288892,10697009,TYLER PERRY BOO A MADEA HALLOWEEN,1.00,8.00,143.92
640288892,10696994,TYLER PERRY MADEA ON THE RUN,1.00,8.00,103.92
640288893,10697009,TYLER PERRY BOO A MADEA HALLOWEEN,1.00,0.00,-7.20
640288893,10696994,TYLER PERRY MADEA ON THE RUN,1.00,0.00,-5.20
640289061,10594551,SULLY,1.00,8.00,159.92
640289061,9792762,SACRED BLACKSMITH COMPLETE BOX SET,1.00,8.00,159.92
640289147,10697005,JACK REACHER NEVER GO BACK,1.00,8.00,159.92
640289147,10696994,TYLER PERRY MADEA ON THE RUN,1.00,8.00,103.92
640289210,10312463,HOW TO BE SINGLE,1.00,8.00,159.92
640289216,10594558,SULLY,1.00,8.00,215.92
640289216,10585448,SNOWDEN BD DVD DIGITAL 12/27/16,1.00,8.00,215.92
640289216,10512330,EDWARD SCISSORHANDS 25TH ANNIV EDT,1.00,8.00,119.92
640289216,9610651,DOWNTON ABBEY 5TH SEASON,1.00,8.00,239.92
640289216,9553490,AMERICANS THE 2ND SEASON,1.00,8.00,135.92
640289216,9033477,AMERICANS THE 1ST SEASON,1.00,8.00,135.92
640289216,9022109,DOWNTON ABBEY 4TH SEASON,1.00,8.00,239.92
640289216,8981202,ARCHER 4TH SEASON,1.00,8.00,143.92
640289216,7467068,ARCHER: 1ST SEASON,1.00,8.00,143.92
640289225,10340622,TOKYO GHOUL COMPLETE 2ND SEASON,1.00,8.00,343.92
640289225,9939614,TOKYO GHOUL COMPLETE 1ST SEASON,1.00,8.00,359.92
640289231,10512461,RWBY VOL 13 BEACON BD STEELBOOK,1.00,8.00,287.92
640289231,9939542,MAD MAX FURY ROAD BD DVD,1.00,8.00,143.92
640289231,9033636,THOR 2 THE DARK WORLD  BD,1.00,8.00,191.92
640289231,8865604,THOR,1.00,8.00,159.92
640289231,8865596,IRON MAN 2,1.00,8.00,119.92
640289231,8865587,IRON MAN,1.00,8.00,79.92
640289231,8822160,IRON MAN 3 DVD/DGCPY,1.00,8.00,159.92
640289339,7467169,TOWN,1.00,8.00,37.92
640289467,10245937,ARCHER 6TH SEASON,1.00,16.00,383.84
640289468,10697024,JACK REACHER NEVER GO BACK,1.00,8.00,207.92
640289495,10628593,PINOCCHIO,1.00,8.00,212.72
