format,fy,date,txns
DEPOT,2017,3/15/2017,342
DEPOT,2017,3/16/2017,358
DEPOT,2017,3/17/2017,279
DEPOT,2017,3/18/2017,100
DEPOT,2017,3/19/2017,59
DEPOT,2017,3/20/2017,348
DEPOT,2017,3/21/2017,342
DEPOT,2017,3/22/2017,378
DEPOT,2017,3/23/2017,349
DEPOT,2017,3/24/2017,261
DEPOT,2017,3/25/2017,137
DEPOT,2017,3/26/2017,116
DEPOT,2017,3/27/2017,370
DEPOT,2017,3/28/2017,353
DEPOT,2017,3/29/2017,326
DEPOT,2017,3/30/2017,279
DEPOT,2017,3/31/2017,271
DEPOT,2017,4/1/2017,88
DEPOT,2017,4/2/2017,55
DEPOT,2017,4/3/2017,375
DEPOT,2017,4/4/2017,335
DEPOT,2017,4/5/2017,323
DEPOT,2017,4/6/2017,243
DEPOT,2017,4/7/2017,260
DEPOT,2017,4/8/2017,103
DEPOT,2017,4/9/2017,89
DEPOT,2017,4/10/2017,390
DEPOT,2017,4/11/2017,304
DEPOT,2017,4/12/2017,329
DEPOT,2017,4/13/2017,350
DEPOT,2017,4/14/2017,239
DEPOT,2017,4/15/2017,108
DEPOT,2017,4/16/2017,23
DEPOT,2017,4/17/2017,403
DEPOT,2017,4/18/2017,348
DEPOT,2017,4/19/2017,334
DEPOT,2017,4/20/2017,434
DEPOT,2017,4/21/2017,314
DEPOT,2017,4/22/2017,102
DEPOT,2017,4/23/2017,82
DEPOT,2017,4/24/2017,416
DEPOT,2017,4/25/2017,385
DEPOT,2017,4/26/2017,385
DEPOT,2017,4/27/2017,391
DEPOT,2017,4/28/2017,314
DEPOT,2017,4/29/2017,132
DEPOT,2017,4/30/2017,111
DEPOT,2017,5/1/2017,440
DEPOT,2017,5/2/2017,431
DEPOT,2017,5/3/2017,441
DEPOT,2017,5/4/2017,431
DEPOT,2017,5/5/2017,291
DEPOT,2017,5/6/2017,135
DEPOT,2017,5/7/2017,75
DEPOT,2017,5/8/2017,415
DEPOT,2017,5/9/2017,383
DEPOT,2017,5/10/2017,374
DEPOT,2017,5/11/2017,430
DEPOT,2017,5/12/2017,393
DEPOT,2017,5/13/2017,98
DEPOT,2017,5/14/2017,72
DEPOT,2017,5/15/2017,390
DEPOT,2017,5/16/2017,372
DEPOT,2017,5/17/2017,351
DEPOT,2017,5/18/2017,343
DEPOT,2017,5/19/2017,260
DEPOT,2017,5/20/2017,85
DEPOT,2017,5/21/2017,87
DEPOT,2017,5/22/2017,409
DEPOT,2017,5/23/2017,354
DEPOT,2017,5/24/2017,353
DEPOT,2017,5/25/2017,267
DEPOT,2017,5/26/2017,207
DEPOT,2017,5/27/2017,82
DEPOT,2017,5/29/2017,17
DEPOT,2017,5/30/2017,404
DEPOT,2017,5/31/2017,404
DEPOT,2017,6/1/2017,337
DEPOT,2017,6/2/2017,227
DEPOT,2017,6/3/2017,93
DEPOT,2017,6/4/2017,90
DEPOT,2017,6/5/2017,340
DEPOT,2017,6/6/2017,343
DEPOT,2017,6/7/2017,343
DEPOT,2017,6/8/2017,353
DEPOT,2017,6/9/2017,261
DEPOT,2017,6/10/2017,71
DEPOT,2017,6/11/2017,90
DEPOT,2017,6/12/2017,374
DEPOT,2017,6/13/2017,364
DEPOT,2017,6/14/2017,326
DEPOT,2017,6/15/2017,320
DEPOT,2017,6/16/2017,248
DEPOT,2017,6/17/2017,83
DEPOT,2017,6/18/2017,129
DEPOT,2017,6/19/2017,365
DEPOT,2017,6/20/2017,335
DEPOT,2017,6/21/2017,318
DEPOT,2017,6/22/2017,373
DEPOT,2017,6/23/2017,254
DEPOT,2017,6/24/2017,88
DEPOT,2017,6/25/2017,123
DEPOT,2017,6/26/2017,412
DEPOT,2017,6/27/2017,342
DEPOT,2017,6/28/2017,364
DEPOT,2017,6/29/2017,329
DEPOT,2017,6/30/2017,236
DEPOT,2017,7/1/2017,75
DEPOT,2017,7/2/2017,26
DEPOT,2017,7/3/2017,153
DEPOT,2017,7/4/2017,70
DEPOT,2017,7/5/2017,379
DEPOT,2017,7/6/2017,361
DEPOT,2017,7/7/2017,230
DEPOT,2017,7/8/2017,122
DEPOT,2017,7/9/2017,99
DEPOT,2017,7/10/2017,400
DEPOT,2017,7/11/2017,331
DEPOT,2017,7/12/2017,338
DEPOT,2017,7/13/2017,317
DEPOT,2017,7/14/2017,257
DEPOT,2017,7/15/2017,80
DEPOT,2017,7/16/2017,93
DEPOT,2017,7/17/2017,376
DEPOT,2017,7/18/2017,390
DEPOT,2017,7/19/2017,365
DEPOT,2017,7/20/2017,370
DEPOT,2017,7/21/2017,218
DEPOT,2017,7/22/2017,87
DEPOT,2017,7/23/2017,117
DEPOT,2017,7/24/2017,394
DEPOT,2017,7/25/2017,308
DEPOT,2017,7/26/2017,304
DEPOT,2017,7/27/2017,289
DEPOT,2017,7/28/2017,200
DEPOT,2017,7/29/2017,74
DEPOT,2017,7/30/2017,102
DEPOT,2017,7/31/2017,384
DEPOT,2017,8/1/2017,300
DEPOT,2017,8/2/2017,371
DEPOT,2017,8/3/2017,312
DEPOT,2017,8/4/2017,277
DEPOT,2017,8/5/2017,75
FLEET,2016,1/31/2016,4400
FLEET,2016,2/1/2016,10721
FLEET,2016,2/2/2016,10597
FLEET,2016,2/3/2016,10373
FLEET,2016,2/4/2016,9950
FLEET,2016,2/5/2016,8691
FLEET,2016,2/6/2016,4850
