loc,order_nbr,item
374,18681284,9759955
374,18738225,8110623
374,18738444,533883
374,18822186,3638930
374,18822186,8669508
390,18665020,3689555
390,18665020,6057064
390,18665020,10777331
390,18665020,10777437
390,18681285,103114
390,18681285,9759955
390,18738445,533883
390,18822187,8669508
391,18665021,6057064
391,18665021,10777331
391,18681286,103114
391,18681286,9759955
391,18738226,8110623
391,18738446,533883
391,18822188,3638930
391,18822188,8669508
393,18665022,3689555
393,18665022,6057064
393,18665022,10253542
393,18665022,10254578
393,18665022,10777331
393,18665022,10777437
393,18665022,10777548
393,18681287,103114
393,18681287,9759955
393,18738227,8110623
393,18738447,533883
393,18822189,3638930
393,18822189,3638931
393,18822189,8669508
398,18665023,3689555
398,18665023,6057064
398,18665023,10253542
398,18665023,10254578
398,18665023,10777331
398,18665023,10777437
398,18665023,10777548
398,18681288,103114
398,18681288,9759955
398,18738228,8110623
398,18738448,533883
398,18822190,3638930
398,18822190,8669508
404,18665024,3689555
404,18665024,6057064
404,18665024,10777331
404,18681289,103114
404,18681289,9759955
404,18738449,533883
404,18822191,8669508
407,18665025,3689555
407,18665025,6057064
407,18665025,10253542
407,18665025,10254578
407,18665025,10777331
407,18665025,10777437
407,18665025,10777548
407,18681290,103114
407,18681290,9759955
407,18738229,8110623
407,18738450,533883
407,18822192,3638930
407,18822192,3638931
407,18822192,8669508
409,18665026,3689555
409,18665026,6057064
409,18665026,10253542
409,18665026,10777331
409,18665026,10777437
409,18665026,10777548
409,18681291,103114
409,18681291,9759955
409,18738451,533883
409,18822193,3638930
409,18822193,3638931
409,18822193,8669508
410,18665027,3689555
410,18665027,6057064
410,18665027,10777331
410,18681292,103114
410,18738231,8110623
410,18738452,533883
417,18647645,3689555
417,18647645,6057064
417,18677414,103114
417,18718965,8110623
417,18722278,533883
427,18647645,3689555
427,18647645,6057064
427,18647645,10777331
427,18647645,10777437
427,18677414,103114
427,18677414,9759955
427,18718965,8110623
427,18722278,533883
427,18737904,8669508
429,18647645,3689555
429,18647645,6057064
429,18647645,10777331
429,18647645,10777437
429,18677414,103114
429,18677414,9759955
429,18718965,8110623
429,18737904,8669508
431,18647645,3689555
431,18647645,6057064
431,18647645,10777331
431,18647645,10777437
431,18677414,103114
431,18718965,8110623
431,18722278,533883
431,18737904,8669508
437,18647645,3689555
437,18647645,6057064
437,18647645,10253542
437,18647645,10254578
437,18647645,10777331
437,18647645,10777437
437,18647645,10777548
437,18677414,103114
437,18677414,9759955
437,18718965,8110623
437,18722278,533883
437,18737904,3638930
437,18737904,3638931
437,18737904,8669508
440,18647642,3689555
440,18647642,6057064
440,18647642,10253542
440,18647642,10254578
440,18647642,10777331
440,18647642,10777437
440,18647642,10777548
440,18677410,103114
440,18677410,9759955
440,18718963,8110623
440,18722275,533883
440,18737902,3638930
440,18737902,3638931
440,18737902,8669508
452,18647642,3689555
452,18647642,6057064
452,18647642,10777331
452,18677410,103114
452,18677410,9759955
452,18718963,8110623
452,18722275,533883
457,18647642,3689555
457,18647642,6057064
457,18647642,10777331
457,18647642,10777437
457,18677410,103114
457,18677410,9759955
457,18718963,8110623
457,18722275,533883
459,18647644,3689555
459,18647644,6057064
459,18647644,10777331
459,18647644,10777437
459,18677417,103114
459,18722276,533883
459,18737903,8669508
463,18647644,3689555
463,18647644,6057064
463,18647644,10777331
463,18677417,103114
463,18718966,8110623
463,18722276,533883
463,18737903,8669508
464,18647644,3689555
464,18647644,6057064
464,18647644,10253542
464,18647644,10254578
464,18647644,10777331
464,18647644,10777437
464,18647644,10777548
464,18677417,103114
464,18677417,9759955
464,18718966,8110623
464,18722276,533883
464,18737903,3638930
464,18737903,3638931
464,18737903,8669508
473,18647644,3689555
473,18647644,6057064
473,18647644,10777331
473,18647644,10777437
473,18677417,103114
473,18718966,8110623
473,18722276,533883
473,18737903,3638930
473,18737903,8669508
485,18647644,10777331
485,18647644,10777437
485,18677417,103114
485,18677417,9759955
485,18722276,533883
485,18737903,8669508
486,18647644,3689555
486,18647644,6057064
486,18647644,10254578
486,18647644,10777331
486,18647644,10777437
486,18677417,103114
486,18677417,9759955
486,18718966,8110623
486,18722276,533883
486,18737903,8669508
488,18647644,3689555
488,18647644,6057064
488,18647644,10777331
488,18677417,103114
488,18677417,9759955
488,18718966,8110623
488,18722276,533883
490,18647644,3689555
490,18647644,6057064
490,18647644,10253542
490,18647644,10254578
490,18647644,10777331
490,18647644,10777437
490,18647644,10777548
490,18677417,103114
490,18677417,9759955
490,18718966,8110623
490,18722276,533883
490,18737903,3638930
490,18737903,3638931
490,18737903,8669508
493,18647644,10777331
493,18677417,103114
493,18677417,9759955
493,18722276,533883
493,18737903,8669508
505,18664998,3689555
505,18664998,6057064
505,18664998,10777331
505,18681319,103114
505,18681319,9759955
505,18738423,533883
505,18822167,8669508
650,18638732,3689555
650,18638732,6057064
650,18638732,10253542
650,18638732,10254578
650,18638732,10777331
650,18638732,10777437
650,18638732,10777548
650,18677420,103114
650,18722274,533883
652,18647640,3689555
652,18647640,6057064
652,18647640,10253542
652,18647640,10254578
652,18647640,10777331
652,18647640,10777437
652,18647640,10777548
652,18677408,103114
652,18722270,533883
716,18638731,3689555
716,18638731,6057064
716,18638731,10253542
716,18638731,10254578
716,18638731,10777331
716,18638731,10777437
716,18638731,10777548
716,18677422,103114
716,18722271,533883
717,18664999,3689555
717,18664999,6057064
717,18681320,103114
720,18665028,3689555
720,18665028,6057064
720,18665028,10253542
720,18665028,10254578
720,18665028,10777331
720,18665028,10777437
720,18665028,10777548
720,18681293,103114
720,18681293,9759955
720,18738232,8110623
720,18738453,533883
720,18822194,3638930
720,18822194,3638931
720,18822194,8669508
722,18665055,3689555
722,18665055,6057064
722,18665055,10253542
722,18665055,10254578
722,18665055,10777331
722,18665055,10777437
722,18665055,10777548
722,18681352,103114
722,18681352,9759955
722,18738067,533883
722,18738211,8110623
722,18822217,3638930
722,18822217,8669508
725,18665000,6057064
725,18665000,10777331
725,18681321,9759955
725,18738189,8110623
725,18738424,533883
725,18822168,3638930
725,18822168,8669508
730,18665056,3689555
730,18665056,6057064
730,18665056,10253542
730,18665056,10254578
730,18665056,10777331
730,18665056,10777437
730,18665056,10777548
730,18681353,103114
730,18681353,9759955
730,18738068,533883
730,18738212,8110623
730,18822218,3638930
730,18822218,8669508
731,18665001,3689555
731,18665001,6057064
731,18665001,10777331
731,18681322,103114
731,18681322,9759955
731,18738190,8110623
731,18738425,533883
731,18822169,3638930
731,18822169,8669508
738,18665029,3689555
738,18665029,6057064
738,18665029,10777331
738,18681294,103114
738,18681294,9759955
738,18738233,8110623
738,18738454,533883
738,18822195,3638930
738,18822195,8669508
740,18683903,10777437
745,18665002,3689555
745,18665002,6057064
745,18665002,10253542
745,18665002,10254578
745,18665002,10777331
745,18665002,10777437
745,18665002,10777548
745,18681323,103114
745,18681323,9759955
745,18738191,8110623
745,18738426,533883
745,18822170,3638930
745,18822170,3638931
745,18822170,8669508
751,18665003,3689555
751,18665003,6057064
751,18665003,10253542
751,18665003,10254578
751,18665003,10777331
751,18665003,10777437
751,18665003,10777548
751,18681324,103114
751,18681324,9759955
751,18738192,8110623
751,18738427,533883
751,18822171,3638930
751,18822171,8669508
752,18665004,3689555
752,18665004,6057064
752,18665004,10777331
752,18681325,9759955
757,18665057,3689555
757,18665057,6057064
757,18665057,10253542
757,18665057,10777331
757,18665057,10777548
757,18681354,103114
757,18681354,9759955
757,18738069,533883
757,18738213,8110623
757,18822219,3638930
757,18822219,8669508
762,18681326,103114
762,18738193,8110623
762,18738429,533883
762,18822172,3638930
762,18822172,8669508
10,19000663,10957598
10,19000715,10958632
16,19000664,10957598
16,19000716,10958632
28,19000665,10957598
28,19000717,10958632
34,19000666,10957598
34,19000718,10958632
37,19000667,10957598
37,19000719,10958632
55,19000668,10957598
55,19000720,10958632
67,19000669,10957598
67,19000721,10958632
93,19000670,10957598
93,19000722,10958632
104,19000671,10957598
104,19000723,10958632
110,19000672,10957598
110,19000724,10958632
133,19000673,10957598
133,19000725,10958632
138,19000674,10957598
138,19000726,10958632
164,19000675,10957598
164,19000727,10958632
166,19000676,10957598
166,19000728,10958632
169,19000677,10957598
169,19000729,10958632
183,19000678,10957598
183,19000730,10958632
191,19000679,10957598
191,19000731,10958632
194,19000680,10957598
194,19000732,10958632
221,19000681,10957598
221,19000733,10958632
227,19000682,10957598
227,19000734,10958632
236,19000683,10957598
236,19000735,10958632
243,19000684,10957598
243,19000736,10958632
263,19000685,10957598
263,19000737,10958632
274,19000686,10957598
274,19000739,10958632
292,19000687,10957598
292,19000740,10958632
301,19000688,10957598
301,19000741,10958632
335,19000689,10957598
335,19000742,10958632
366,19000690,10957598
366,19000743,10958632
384,19000691,10957598
384,19000744,10958632
391,19000692,10957598
391,19000745,10958632
393,19000693,10957598
393,19000746,10958632
398,19000694,10957598
398,19000747,10958632
407,19000695,10957598
407,19000748,10958632
409,19000696,10957598
409,19000749,10958632
410,19000750,10958632
437,19000697,10957598
437,19000751,10958632
440,19000698,10957598
440,19000752,10958632
464,19000699,10957598
464,19000753,10958632
481,19000700,10957598
481,19000754,10958632
490,19000701,10957598
490,19000755,10958632
634,19000702,10957598
634,19000756,10958632
650,19000703,10957598
650,19000757,10958632
652,19000704,10957598
652,19000758,10958632
715,19000705,10957598
715,19000759,10958632
716,19000706,10957598
716,19000760,10958632
720,19000707,10957598
720,19000761,10958632
722,19000708,10957598
722,19000762,10958632
730,19000709,10957598
730,19000763,10958632
740,19000710,10957598
740,19000764,10958632
745,19000711,10957598
745,19000765,10958632
751,19000712,10957598
751,19000766,10958632
757,19000713,10957598
757,19000767,10958632
780,19000714,10957598
780,19000768,10958632
10,18923320,9026072
16,18923320,9026072
34,18923320,9026072
55,18923320,9026072
110,18923332,9026072
164,18923332,9026072
169,18923332,9026072
191,18923332,9026072
221,18923320,9026072
263,18923332,9026072
292,18923651,9026072
335,18923651,9026072
366,18923651,9026072
393,18923651,9026072
407,18923651,9026072
720,18923651,9026072
745,18923320,9026072
9801,18924068,9026072
9941,18924021,9026072
9971,18924073,9026072
9981,18924023,9026072
9991,18924020,9026072
43,19001641,10515858
221,19040908,10758358
221,19040980,10758564
164,18855675,10787727
191,18855675,10787727
8,18713756,7088436
9,18713756,7088436
10,18746400,10839604
10,18746400,10839609
10,18746400,10839613
10,18746400,10839656
10,18746400,10839745
10,18746400,10839775
10,18746400,10839785
10,18659448,10254940
10,18659448,10254965
10,18713756,7088436
10,18713756,8053309
16,18746400,10839604
16,18746400,10839609
16,18746400,10839613
16,18746400,10839656
16,18746400,10839745
16,18746400,10839775
16,18746400,10839785
16,18659448,10254940
16,18659448,10254965
16,18713756,7088436
16,18713756,8053309
17,18713756,7088436
20,18713756,7088436
21,18713756,7088436
26,18713756,7088436
28,18713756,7088436
29,18713756,7088436
30,18713756,7088436
31,18713756,7088436
32,18713756,7088436
34,18746400,10839604
34,18746400,10839609
34,18746400,10839613
34,18746400,10839656
34,18746400,10839745
34,18746400,10839775
34,18746400,10839785
34,18659448,10254940
34,18659448,10254965
34,18713756,7088436
34,18713756,8053309
35,18713756,7088436
36,18713756,7088436
37,18713756,7088436
39,18713756,7088436
40,18713756,7088436
43,18713756,7088436
49,18713756,7088436
50,18713756,7088436
53,18713756,7088436
55,18713756,7088436
55,18713756,8053309
57,18713756,7088436
62,18713756,7088436
63,18713756,7088436
65,18713756,7088436
67,18713756,7088436
67,18713756,8053309
78,18713756,7088436
79,18713756,7088436
80,18713756,7088436
82,18713756,7088436
83,18713756,7088436
87,18713756,7088436
90,18713756,7088436
93,18659448,10254940
93,18659448,10254965
93,18713756,8053309
110,18713756,8053309
149,18713756,8053309
164,18659448,10254940
164,18659448,10254965
164,18713756,7088436
164,18713756,8053309
169,18713756,8053309
191,18659448,10254940
191,18659448,10254965
191,18713756,8053309
