Day,Date,Sales $,Plan $,Sales $ LY,MD $,MD $ LY,MD %,MD % LY,Ad Drop,Scratcher,Pay,Clrn,Coupon,Neg,Scratcher LY,Pay LY,Clrn LY,Coupon LY,Neg LY,Hit LY
Fri,11/11/2016,7061.32,9000.00,7250.70,980.89,776.46, 0.14 , 0.11 ,0,0,0,0,0,0,0,0,0,0,0,0
Sat,11/12/2016,7054.19,8038.00,7737.29,889.51,767.41, 0.13 , 0.10 ,0,0,0,0,0,0,0,0,0,0,0,0
Sun,11/13/2016,5431.23,6900.00,6874.92,641.16,741.09, 0.12 , 0.11 ,0,0,0,0,0,0,0,0,0,0,0,0
Mon,11/14/2016,5294.24,4500.00,4072.16,650.32,611.11, 0.12 , 0.15 ,0,0,0,0,0,0,0,0,0,0,0,1
Tue,11/15/2016,6235.99,5800.00,4511.96,724.85,470.28, 0.12 , 0.10 ,0,0,1,0,0,0,0,0,0,0,0,1
Wed,11/16/2016,5900.58,5400.00,5652.52,1539.68,1522.96, 0.26 , 0.27 ,1,0,0,1,0,0,0,0,0,0,0,1
Thu,11/17/2016,4991.16,5200.00,4834.43,974.81,860.14, 0.20 , 0.18 ,0,0,0,0,0,0,0,0,0,0,0,1
Fri,11/18/2016,6583.34,6500.00,6215.31,1174.99,920.54, 0.18 , 0.15 ,0,0,0,0,0,0,0,0,0,0,0,1
Sat,11/19/2016,6297.55,6444.00,6043.23,1047.78,889.65, 0.17 , 0.15 ,0,0,0,0,0,0,0,0,0,0,0,1
Sun,11/20/2016,5013.86,5300.00,5702.56,772.09,876.03, 0.15 , 0.15 ,0,0,0,0,0,0,0,0,0,0,0,0
Mon,11/21/2016,5018.76,4900.00,4744.83,581.45,962.74, 0.12 , 0.20 ,0,0,0,0,0,0,0,0,0,0,0,1
Tue,11/22/2016,6084.11,6050.00,5847.33,684.63,631.21, 0.11 , 0.11 ,0,0,0,0,0,0,0,0,0,0,0,1
Wed,11/23/2016,6890.25,7170.00,6996.77,850.26,770.04, 0.12 , 0.11 ,1,0,0,0,0,0,0,0,0,0,0,0
Thu,11/24/2016,1620.70,900.00,829.18,423.35,124.45, 0.26 , 0.15 ,0,0,0,0,0,0,0,0,0,0,0,1
Fri,11/25/2016,37627.38,42300.00,39237.98,11094.21,12168.36, 0.29 , 0.31 ,0,0,0,0,0,0,0,0,0,0,0,0
Sat,11/26/2016,11075.08,14815.00,13947.38,,3598.53,  , 0.26 ,0,0,0,0,0,0,0,0,0,0,0,0
Sun,11/27/2016,8670.84,8275.36,8985.46,2018.94,2114.60, 0.23 , 0.24 ,0,0,0,0,0,0,0,0,0,0,0,0
Mon,11/28/2016,4406.83,5627.50,5143.35,584.42,1006.59, 0.13 , 0.20 ,0,0,0,0,1,0,0,0,0,0,0,0
Tue,11/29/2016,4966.51,5664.84,5329.75,562.69,1514.48, 0.11 , 0.28 ,0,0,0,0,0,0,0,0,0,0,0,0
Wed,11/30/2016,5425.82,5713.70,8010.70,485.30,1243.34, 0.09 , 0.16 ,1,0,0,0,0,0,0,0,0,0,0,0
Thu,12/1/2016,5106.69,5510.84,7127.66,640.35,1011.43, 0.13 , 0.14 ,0,0,1,0,0,0,0,0,0,0,0,0
Fri,12/2/2016,10408.95,9543.06,8068.10,1693.53,921.21, 0.16 , 0.11 ,0,1,0,1,0,0,0,0,0,0,0,1
Sat,12/3/2016,10580.01,9923.64,8851.43,1746.74,1022.05, 0.17 , 0.12 ,0,0,0,0,0,0,0,0,0,0,0,1
Sun,12/4/2016,9398.89,7282.75,6745.22,1627.37,750.38, 0.17 , 0.11 ,0,0,0,0,0,0,0,0,0,0,0,1
Mon,12/5/2016,5184.55,5579.07,6005.60,888.93,974.04, 0.17 , 0.16 ,0,0,0,0,1,0,0,0,0,0,0,0
Tue,12/6/2016,5452.20,6283.00,7502.55,888.96,1602.04, 0.16 , 0.21 ,0,0,0,0,0,0,0,0,0,0,0,0
Wed,12/7/2016,6025.61,7222.73,6430.67,694.86,814.16, 0.12 , 0.13 ,1,0,0,0,0,0,0,0,0,0,0,0
Thu,12/8/2016,5892.44,6599.75,6244.18,1123.60,1232.20, 0.19 , 0.20 ,0,0,0,0,0,0,0,0,0,0,0,0
Fri,12/9/2016,6947.58,7933.97,7592.60,873.69,1154.05, 0.13 , 0.15 ,0,0,0,0,0,0,0,0,0,0,0,0
