Month,Date,Day of Week,POS Txn,Style,Dept,Txns,Sales U,Sales $,BasketU,Basket$,AvgBskt$,AvgBsktU
2017:03-APR,4/24/2017,Monday,653516168,"10786282:APR 19-25, 2017 30% OFF ONE ITEM IN APPAREL, SHOES",0999:UNSCANNED ITEMS,1,1,$0,1,$84,$83.99,1.0
2017:03-APR,4/24/2017,Monday,653516196,10467154:MS 10 PC ELLINGTON KG,0941:BEDDING,1,1,$98,1,$98,$97.98,1.0
2017:03-APR,4/24/2017,Monday,653516196,"10786282:APR 19-25, 2017 30% OFF ONE ITEM IN APPAREL, SHOES",0999:UNSCANNED ITEMS,1,1,$0,1,$98,$97.98,1.0
2017:03-APR,4/24/2017,Monday,653516203,10402078:TRPR INFNT GRL USN 2PC NWU PNK DRESS & BERET SET_D,0511:NAVY PRIDE SOFTLINES,1,1,$5,8,$73,$72.62,8.0
2017:03-APR,4/24/2017,Monday,653516203,10600177:MP DIGI OVAL NAVY WIFE MAGNET_D,0510:NAVY PRIDE HARDLINES,1,1,$1,8,$73,$72.62,8.0
2017:03-APR,4/24/2017,Monday,653516203,10600178:MP DIGI OVAL NAVY RETIRED MAGNET_D,0510:NAVY PRIDE HARDLINES,1,1,$1,8,$73,$72.62,8.0
2017:03-APR,4/24/2017,Monday,653516203,"10786282:APR 19-25, 2017 30% OFF ONE ITEM IN APPAREL, SHOES",0999:UNSCANNED ITEMS,1,1,$0,8,$73,$72.62,8.0
2017:03-APR,4/24/2017,Monday,653516203,10821972:TROOPER INFANT BOYS NWU & GOLD CRAWLER 2PC GOLD_D,0511:NAVY PRIDE SOFTLINES,1,1,$4,8,$73,$72.62,8.0
2017:03-APR,4/24/2017,Monday,653516203,8427198:INFANT NWU TOP W/ANCHOR/PANTY_D,0511:NAVY PRIDE SOFTLINES,1,1,$5,8,$73,$72.62,8.0
2017:03-APR,4/24/2017,Monday,653516203,8477159:PINK ONESIE W NWU HEART_D,0511:NAVY PRIDE SOFTLINES,1,1,$3,8,$73,$72.62,8.0
2017:03-APR,4/24/2017,Monday,653516203,9519032:DEGREE WM DRY SPRAY FRESH ENERGY 3.8OZ,0604:PERSONAL CARE,1,1,$5,8,$73,$72.62,8.0
2017:03-APR,4/24/2017,Monday,653516203,9987066:SPERRY TOP-SIDER SALTWATER QUILTED NVY/GRAPHITE ST,0291:WOMENS FTWR:DRS/CAS,1,1,$50,8,$73,$72.62,8.0
2017:03-APR,4/24/2017,Monday,653516235,10703064:FEB EPIC SS ETCHED STRIPE TEE,0460:BOYS 4-7 CLOTHING,1,1,$5,1,$5,$4.89,1.0
2017:03-APR,4/24/2017,Monday,653516235,"10786282:APR 19-25, 2017 30% OFF ONE ITEM IN APPAREL, SHOES",0999:UNSCANNED ITEMS,1,1,$0,1,$5,$4.89,1.0
2017:03-APR,4/24/2017,Monday,653516236,10747220:MAR EPIC SS LARA STRIPE TEE,0460:BOYS 4-7 CLOTHING,1,1,$5,1,$5,$4.89,1.0
2017:03-APR,4/24/2017,Monday,653516236,"10786282:APR 19-25, 2017 30% OFF ONE ITEM IN APPAREL, SHOES",0999:UNSCANNED ITEMS,1,1,$0,1,$5,$4.89,1.0
2017:03-APR,4/24/2017,Monday,653516248,10341157:MAUI JIM UNS KUPUNA BLUE FRM GRY LENS SUNGLASS SM1,0589:SUNGLASSES,1,1,$175,1,$175,$175.00,1.0
2017:03-APR,4/24/2017,Monday,653516248,"10786282:APR 19-25, 2017 30% OFF ONE ITEM IN APPAREL, SHOES",0999:UNSCANNED ITEMS,1,1,$0,1,$175,$175.00,1.0
2017:03-APR,4/24/2017,Monday,653516249,"10786282:APR 19-25, 2017 30% OFF ONE ITEM IN APPAREL, SHOES",0999:UNSCANNED ITEMS,1,1,$0,1,$28,$28.00,1.0
2017:03-APR,4/24/2017,Monday,653516249,40274:52 CHROME ORIGINAL PILOT,0589:SUNGLASSES,1,1,$28,1,$28,$28.00,1.0
2017:03-APR,4/24/2017,Monday,653516250,10002062:OAKLEY MNS FLAK XL2.0 MT WHT SPHR IRDM 59MM SUNGLA,0589:SUNGLASSES,1,1,$88,1,$88,$87.50,1.0
2017:03-APR,4/24/2017,Monday,653516250,"10786282:APR 19-25, 2017 30% OFF ONE ITEM IN APPAREL, SHOES",0999:UNSCANNED ITEMS,1,1,$0,1,$88,$87.50,1.0
2017:03-APR,4/24/2017,Monday,653516252,"10786282:APR 19-25, 2017 30% OFF ONE ITEM IN APPAREL, SHOES",0999:UNSCANNED ITEMS,1,1,$0,1,$81,$80.50,1.0
2017:03-APR,4/24/2017,Monday,653516252,10832513:RAY-BAN UNI RUBBER BLACK / LIGHT GREY GRADIENT DAR,0589:SUNGLASSES,1,1,$81,1,$81,$80.50,1.0
2017:03-APR,4/24/2017,Monday,653516253,"10786282:APR 19-25, 2017 30% OFF ONE ITEM IN APPAREL, SHOES",0999:UNSCANNED ITEMS,1,1,$0,1,$81,$80.50,1.0
2017:03-APR,4/24/2017,Monday,653516253,3885473: RAYBAN OUTSIDERS NEW WAYFARER,0589:SUNGLASSES,1,1,$81,1,$81,$80.50,1.0
2017:03-APR,4/24/2017,Monday,653516268,10631121:SKECHERS USA REGGAE KOOKY BKGY 40876,0291:WOMENS FTWR:DRS/CAS,1,1,$24,2,$48,$48.48,2.0
2017:03-APR,4/24/2017,Monday,653516268,"10786282:APR 19-25, 2017 30% OFF ONE ITEM IN APPAREL, SHOES",0999:UNSCANNED ITEMS,1,1,$0,2,$48,$48.48,2.0
2017:03-APR,4/24/2017,Monday,653516268,"9129010:120263 GM DONUT SHOP, 48 CT",0826:SMALL ELECTRICS,1,1,$24,2,$48,$48.48,2.0
2017:03-APR,4/24/2017,Monday,653516381,10303228:WHALE NIGHT LIGHT 4.3X5.3,0056:SOUVENIR,1,1,$13,4,$31,$30.98,4.0
2017:03-APR,4/24/2017,Monday,653516381,10600177:MP DIGI OVAL NAVY WIFE MAGNET_D,0510:NAVY PRIDE HARDLINES,1,1,$1,4,$31,$30.98,4.0
2017:03-APR,4/24/2017,Monday,653516381,10721235:EMBELISHED SHOPPER,0271:HANDBAGS,1,1,$21,4,$31,$30.98,4.0
2017:03-APR,4/24/2017,Monday,653516381,"10786282:APR 19-25, 2017 30% OFF ONE ITEM IN APPAREL, SHOES",0999:UNSCANNED ITEMS,1,1,$0,4,$31,$30.98,4.0
2017:03-APR,4/24/2017,Monday,653516381,6861152:FT NWU CAMO UNIFORM BIB_D,0511:NAVY PRIDE SOFTLINES,1,1,$2,4,$31,$30.98,4.0
2017:03-APR,4/24/2017,Monday,653516381,9919656:MP MARINE CREST REFLEC DOME DECAL,0510:NAVY PRIDE HARDLINES,1,1,$7,4,$31,$30.98,4.0
2017:03-APR,4/24/2017,Monday,653516388,"10786282:APR 19-25, 2017 30% OFF ONE ITEM IN APPAREL, SHOES",0999:UNSCANNED ITEMS,1,1,$0,1,$8,$8.04,1.0
2017:03-APR,4/24/2017,Monday,653516388,9137060:Hanes Bonus Pack Socks Crew 12+12 Pack- White,0360:MENS FURNISHINGS,1,1,$8,1,$8,$8.04,1.0
2017:03-APR,4/24/2017,Monday,653516788,10034449:AERO F59 BRN/CRY 53_D,0075:OPT EYEWEAR/ACC,,1,$91,0,$0,,
2017:03-APR,4/24/2017,Monday,653516788,"10786282:APR 19-25, 2017 30% OFF ONE ITEM IN APPAREL, SHOES",0999:UNSCANNED ITEMS,,1,$0,0,$0,,
2017:03-APR,4/24/2017,Monday,653516797,10775772:HEART SOUL LS COLD SHLDR BTN UP RUFFLE DRESS CHAMB,0186:JUNIOR DRESSES,1,1,$17,1,$17,$17.49,1.0
2017:03-APR,4/24/2017,Monday,653516797,"10786282:APR 19-25, 2017 30% OFF ONE ITEM IN APPAREL, SHOES",0999:UNSCANNED ITEMS,1,1,$0,1,$17,$17.49,1.0
2017:03-APR,4/24/2017,Monday,653516799,10017898:TIMEX MNS EXPEDITION GRID SHOCK DIGITAL BLK 50MM W,0585:WATCHES,1,1,$56,1,$56,$56.00,1.0
2017:03-APR,4/24/2017,Monday,653516799,"10786282:APR 19-25, 2017 30% OFF ONE ITEM IN APPAREL, SHOES",0999:UNSCANNED ITEMS,1,1,$0,1,$56,$56.00,1.0
2017:03-APR,4/24/2017,Monday,653516801,10090221:NINE WEST WMN PLSTC SUNGLASS MSA,0589:SUNGLASSES,1,1,$17,1,$17,$17.49,1.0
2017:03-APR,4/24/2017,Monday,653516801,"10793466:APR 19-25, 2017 30% OFF ONE ITEM IN APPAREL, SHOES",0999:UNSCANNED ITEMS,1,1,$0,1,$17,$17.49,1.0
2017:03-APR,4/24/2017,Monday,653516802,"10793466:APR 19-25, 2017 30% OFF ONE ITEM IN APPAREL, SHOES",0999:UNSCANNED ITEMS,1,1,$0,1,$174,$174.30,1.0
2017:03-APR,4/24/2017,Monday,653516802,"5140828:14K 24""  DIA CUT ROPE",0582:GOLD,1,1,$174,1,$174,$174.30,1.0
2017:03-APR,4/24/2017,Monday,653516803,10511325:OAKLEY MNS HOLBROOK MAT BLK BLK IRDM PLZD 55MM SUN,0589:SUNGLASSES,1,1,$98,1,$98,$98.00,1.0
2017:03-APR,4/24/2017,Monday,653516803,"10786282:APR 19-25, 2017 30% OFF ONE ITEM IN APPAREL, SHOES",0999:UNSCANNED ITEMS,1,1,$0,1,$98,$98.00,1.0
2017:03-APR,4/24/2017,Monday,653516804,10489153:GUESS WMN LIME SKY BLUE DIAL HNY LTHR STRP 38MM WA,0585:WATCHES,1,1,$77,6,$276,$275.98,6.0
2017:03-APR,4/24/2017,Monday,653516804,10756122:APR SS BATIK STRIPE CREW TEE GREY/PINK,0346:LIFE STYLE DENIM,1,1,$10,6,$276,$275.98,6.0
2017:03-APR,4/24/2017,Monday,653516804,10756132:APR BROKEN DIAMOND SS VNECK TEE WHITE,0346:LIFE STYLE DENIM,1,1,$10,6,$276,$275.98,6.0
2017:03-APR,4/24/2017,Monday,653516804,"10786282:APR 19-25, 2017 30% OFF ONE ITEM IN APPAREL, SHOES",0999:UNSCANNED ITEMS,1,2,$0,6,$276,$275.98,6.0
2017:03-APR,4/24/2017,Monday,653516804,5090732:D&G LIGHT BLUE 1.7 SPRAY,0592:WMNS PRESTIGE FRAG,1,1,$61,6,$276,$275.98,6.0
2017:03-APR,4/24/2017,Monday,653516804,8324431:LA VIE est BELLE 1oz EDP,0593:PRESTIGE COSMETICS,1,1,$59,6,$276,$275.98,6.0
2017:03-APR,4/24/2017,Monday,653516804,9900431:MY BURBERRY WN EDT 1.6OZ,0592:WMNS PRESTIGE FRAG,1,1,$59,6,$276,$275.98,6.0
2017:03-APR,4/24/2017,Monday,653516805,10488276:MKORS ROSE GOLD TONE 'URBAN RUSH'  FACETED HINGE B,0581:BRIDGE JEWELRY,1,1,$53,1,$53,$53.19,1.0
2017:03-APR,4/24/2017,Monday,653516805,"10786282:APR 19-25, 2017 30% OFF ONE ITEM IN APPAREL, SHOES",0999:UNSCANNED ITEMS,1,1,$0,1,$53,$53.19,1.0
2017:03-APR,4/24/2017,Monday,653516806,10174002:TORY BURCH WMN BLUSH SMK GRDNT 55MM SUNGLASS MSA,0589:SUNGLASSES,1,1,$102,2,$121,$121.49,2.0
2017:03-APR,4/24/2017,Monday,653516806,10584972:NIKE W DRY SHORT ATTK TR5,0193:LADIES ACTIVEWEAR,1,1,$20,2,$121,$121.49,2.0
2017:03-APR,4/24/2017,Monday,653516806,"10793466:APR 19-25, 2017 30% OFF ONE ITEM IN APPAREL, SHOES",0999:UNSCANNED ITEMS,1,1,$0,2,$121,$121.49,2.0
2017:03-APR,4/24/2017,Monday,653516807,10299351:(C) MKORS SILVER TONE DETAIL BANGLE - MSA_D,0581:BRIDGE JEWELRY,1,1,$81,2,$89,$89.18,2.0
2017:03-APR,4/24/2017,Monday,653516807,"10786282:APR 19-25, 2017 30% OFF ONE ITEM IN APPAREL, SHOES",0999:UNSCANNED ITEMS,1,1,$0,2,$89,$89.18,2.0
2017:03-APR,4/24/2017,Monday,653516807,8341160:Plan JCP1b Jwlry $50-$99.99 2yrs DOP,0583:DIAMONDS/BRIDAL,1,1,$8,2,$89,$89.18,2.0
2017:03-APR,4/24/2017,Monday,653516808,10358530:MICHAEL KORS WMN PARKER RSE GLD ACND SABLE DIAL BR,0585:WATCHES,1,1,$161,1,$161,$161.00,1.0
2017:03-APR,4/24/2017,Monday,653516808,"10793466:APR 19-25, 2017 30% OFF ONE ITEM IN APPAREL, SHOES",0999:UNSCANNED ITEMS,1,1,$0,1,$161,$161.00,1.0
2017:03-APR,4/24/2017,Monday,653516811,"10786282:APR 19-25, 2017 30% OFF ONE ITEM IN APPAREL, SHOES",0999:UNSCANNED ITEMS,1,1,$0,1,$109,$108.50,1.0
2017:03-APR,4/24/2017,Monday,653516811,7729976:OAK SI FLAK JACKET XJL MTL BLK/GREY PLZD,0589:SUNGLASSES,1,1,$109,1,$109,$108.50,1.0
2017:03-APR,4/24/2017,Monday,653516812,10615924:BOND LARGE SATCHEL CEMENT,0271:HANDBAGS,1,1,$277,2,$375,$374.50,2.0
