desc,num,txns,desc2
"20% OFF SINGLE REGULAR PRICED BED & BATH, COOKWARE",10851744,175.00,"'20% OFF SINGLE REGULAR PRICED BED & BATH, COOKWARE"
"20% OFF SINGLE REGULAR PRICED BED & BATH, COOKWARE",10851745,93.00,"'20% OFF SINGLE REGULAR PRICED BED & BATH, COOKWARE"
$10 Off of $50 Pet Department_INSTORE,10871217,149.00,'$10 Off of $50 Pet Department_INSTORE
$5 OFF $30 PET DEPARTMENT_INSTORE,10871224,105.00,'$5 OFF $30 PET DEPARTMENT_INSTORE
$5 OFF $30 PET DEPARTMENT_EMAIL,10871226,4.00,'$5 OFF $30 PET DEPARTMENT_EMAIL
$25 OFF $100 PET DEPARTMENT_INSTORE,10871231,46.00,'$25 OFF $100 PET DEPARTMENT_INSTORE
$25 OFF $100 PET DEPARTMENT_EMAIL,10871234,2.00,'$25 OFF $100 PET DEPARTMENT_EMAIL
$5 OFF SINGLE SWIFFER WETJET KIT_MAIL,10874111,53.00,'$5 OFF SINGLE SWIFFER WETJET KIT_MAIL
$1 OFF SINGLE ENERGIZER MULTIPACK BATTERY ITEM (AA,10874130,164.00,'$1 OFF SINGLE ENERGIZER MULTIPACK BATTERY ITEM (AA
20% OFF SINGLE REGULAR PRICED 3M COMMAND ITEM_MAIL,10874143,134.00,'20% OFF SINGLE REGULAR PRICED 3M COMMAND ITEM_MAIL
20% OFF SINGLE REGULAR PRICED 3M COMMAND ITEM_EMAI,10874146,4.00,'20% OFF SINGLE REGULAR PRICED 3M COMMAND ITEM_EMAI
20% OFF SINGLE REGULAR PRICE FOOTWEAR OR APPAREL F,10880517,1902.00,'20% OFF SINGLE REGULAR PRICE FOOTWEAR OR APPAREL F
20% OFF SINGLE REGULAR PRICE FOOTWEAR OR APPAREL F,10880527,70.00,'20% OFF SINGLE REGULAR PRICE FOOTWEAR OR APPAREL F
20% OFF SINGLE REGULAR PRICE FOOTWEAR OR APPAREL F,10880555,1622.00,'20% OFF SINGLE REGULAR PRICE FOOTWEAR OR APPAREL F
20% OFF SINGLE REGULAR PRICE FOOTWEAR OR APPAREL F,10880557,38.00,'20% OFF SINGLE REGULAR PRICE FOOTWEAR OR APPAREL F
20% OFF SINGLE REGULAR PRICE SPORTS NUTRITION ITEM,10880565,918.00,'20% OFF SINGLE REGULAR PRICE SPORTS NUTRITION ITEM
20% OFF SINGLE REGULAR PRICE SPORTS NUTRITION ITEM,10880578,3.00,'20% OFF SINGLE REGULAR PRICE SPORTS NUTRITION ITEM
$15 BOUNCE BACK COUPON,10880590,24141.00,'$15 BOUNCE BACK COUPON
"10% OFF ANY SINGLE SMALL KITCHEN APPLIANCE, BED &",10899201,3889.00,"'10% OFF ANY SINGLE SMALL KITCHEN APPLIANCE, BED &"
"10% OFF ANY SINGLE SMALL KITCHEN APPLIANCE, BED &",10899214,182.00,"'10% OFF ANY SINGLE SMALL KITCHEN APPLIANCE, BED &"
"10% OFF ANY SINGLE SMALL KITCHEN APPLIANCE, BED &",10899215,110.00,"'10% OFF ANY SINGLE SMALL KITCHEN APPLIANCE, BED &"
$10 OFF TOTAL PURCHASE OF $75 OR MORE_MAIL,10899603,46023.00,'$10 OFF TOTAL PURCHASE OF $75 OR MORE_MAIL
$10 OFF TOTAL PURCHASE OF $75 OR MORE_WEB,10899604,4099.00,'$10 OFF TOTAL PURCHASE OF $75 OR MORE_WEB
$10 OFF TOTAL PURCHASE OF $75 OR MORE_EMAIL,10899606,2288.00,'$10 OFF TOTAL PURCHASE OF $75 OR MORE_EMAIL
ORLANDO SCRATCH OFF FOR GROCERY ONLY,10917054,1403.00,'ORLANDO SCRATCH OFF FOR GROCERY ONLY
"20% OFF ANY SNGLE SM KITCHEN APPLIANCE, BED & BATH",10926538,3384.00,"'20% OFF ANY SNGLE SM KITCHEN APPLIANCE, BED & BATH"
"20% OFF ANY SNGLE SM KITCHEN APPLIANCE, BED & BATH",10926542,172.00,"'20% OFF ANY SNGLE SM KITCHEN APPLIANCE, BED & BATH"
"20% OFF ANY SNGLE SM KITCHEN APPLIANCE, BED & BATH",10926544,271.00,"'20% OFF ANY SNGLE SM KITCHEN APPLIANCE, BED & BATH"
$5 OFF UNIFORM BOUNCE BACK COUPON,10926596,91.00,'$5 OFF UNIFORM BOUNCE BACK COUPON
$5 OFF YOUR NEX MERCHANDISE PURCHASE OF $50 OR MOR,10935107,29.00,'$5 OFF YOUR NEX MERCHANDISE PURCHASE OF $50 OR MOR
$0.99 FOUNTAIN DRINK ANY SIZE AT ANY NEX MINI MART,10936752,2.00,'$0.99 FOUNTAIN DRINK ANY SIZE AT ANY NEX MINI MART
$0.99 FOUNTAIN DRINK ANY SIZE AT ANY NEX MINI MART,10936829,122.00,'$0.99 FOUNTAIN DRINK ANY SIZE AT ANY NEX MINI MART
$6 HAIRCUT FOR KIDS AGES 10 & UNDER,10940778,503.00,'$6 HAIRCUT FOR KIDS AGES 10 & UNDER
 $6 HAIRCUT FOR KIDS AGES 10 & UNDER,10940782,14.00,' $6 HAIRCUT FOR KIDS AGES 10 & UNDER
$6 HAIRCUT FOR KIDS AGES 10 & UNDER,10940784,24.00,'$6 HAIRCUT FOR KIDS AGES 10 & UNDER
$60 EYEWEAR PACKAGE FOR KIDS AGES 12 & UNDER,10940788,30.00,'$60 EYEWEAR PACKAGE FOR KIDS AGES 12 & UNDER
$60 EYEWEAR PACKAGE FOR KIDS AGES 12 & UNDER,10940790,3.00,'$60 EYEWEAR PACKAGE FOR KIDS AGES 12 & UNDER
$60 EYEWEAR PACKAGE FOR KIDS AGES 12 & UNDER,10940792,2.00,'$60 EYEWEAR PACKAGE FOR KIDS AGES 12 & UNDER
$10 OFF TOTAL PURCHASE OF $75 OR MORE_INSTORE,10942855,8108.00,'$10 OFF TOTAL PURCHASE OF $75 OR MORE_INSTORE
"20% OFF SNGLE REG OR SALE PRICED HOUSEWARES,BED,BA",10942856,1390.00,"'20% OFF SNGLE REG OR SALE PRICED HOUSEWARES,BED,BA"
"20% OFF SNGLE REG OR SALE PRICED HOUSEWARES,BED,BA",10942858,79.00,"'20% OFF SNGLE REG OR SALE PRICED HOUSEWARES,BED,BA"
"20% OFF SNGLE REG OR SALE PRICED HOUSEWARES,BED,BA",10942860,47.00,"'20% OFF SNGLE REG OR SALE PRICED HOUSEWARES,BED,BA"
10% OFF SNGLE REG OR SALE PRICED FLOOR CARE OR SM,10942862,545.00,'10% OFF SNGLE REG OR SALE PRICED FLOOR CARE OR SM
10% OFF SNGLE REG OR SALE PRICED FLOOR CARE OR SM,10942868,36.00,'10% OFF SNGLE REG OR SALE PRICED FLOOR CARE OR SM
10% OFF SNGLE REG OR SALE PRICED FLOOR CARE OR SM,10942871,14.00,'10% OFF SNGLE REG OR SALE PRICED FLOOR CARE OR SM
FURNITURE & MATTRESS SCRATCH CARD_INSTORE,10943853,311.00,'FURNITURE & MATTRESS SCRATCH CARD_INSTORE
$15 BOUNCE BACK COUPON_EMAIL,10957825,95.00,'$15 BOUNCE BACK COUPON_EMAIL
POSTCARD % OFF PROMO,1138005,7.00,'POSTCARD % OFF PROMO
REWARD CARD TRACKS NEX GCs ISSUED,6304266,3505.00,'REWARD CARD TRACKS NEX GCs ISSUED
DOD TDY SHOPPING,6403154,7.00,'DOD TDY SHOPPING
NEX 5.00 COUPON,6803587,9221.00,'NEX 5.00 COUPON
SCRATCH OFF PROMO,708155,1343651.00,'SCRATCH OFF PROMO
REDEMPTION FOR CFC,7767953,15807.00,'REDEMPTION FOR CFC
REDEMPTION NAVY-MARINE CORPS RELIEF SOCIETY,8046397,48683.00,'REDEMPTION NAVY-MARINE CORPS RELIEF SOCIETY
"20% OFF ONE ITEM: APPAREL/ACC, SHOES, LUGGAGE, HAN",8448503,24.00,"'20% OFF ONE ITEM: APPAREL/ACC, SHOES, LUGGAGE, HAN"
"20% OFF ONE ITEM FOR THE HOME, FURNIT, RUGS,SMALL",8448580,26.00,"'20% OFF ONE ITEM FOR THE HOME, FURNIT, RUGS,SMALL"
20% off MENS or LADIES Athletic Shoe Or ACTIVEWEAR,8637509,572.00,'20% off MENS or LADIES Athletic Shoe Or ACTIVEWEAR
$3.00 OFF $25,8807218,10.00,'$3.00 OFF $25
$5.00 OFF $50,8807225,297506.00,'$5.00 OFF $50
