Date,Week,Month,Quarter,Year,Txns,Sales $
22-Jul-2015,Wk25,JUL,Q2,2015,"48,581","$2,298,615"
23-Jul-2015,Wk25,JUL,Q2,2015,"48,484","$2,298,954"
24-Jul-2015,Wk25,JUL,Q2,2015,"54,598","$2,783,156"
25-Jul-2015,Wk25,JUL,Q2,2015,"53,885","$3,310,658"
26-Jul-2015,Wk26,JUL,Q2,2015,"44,457","$2,609,191"
27-Jul-2015,Wk26,JUL,Q2,2015,"46,089","$2,098,380"
28-Jul-2015,Wk26,JUL,Q2,2015,"45,573","$2,170,691"
29-Jul-2015,Wk26,JUL,Q2,2015,"52,578","$3,503,452"
30-Jul-2015,Wk26,JUL,Q2,2015,"55,794","$3,118,526"
31-Jul-2015,Wk26,JUL,Q2,2015,"63,924","$3,727,442"
1-Aug-2015,Wk26,JUL,Q2,2015,"62,453","$4,229,440"
2-Aug-2015,Wk27,AUG,Q3,2015,"51,947","$3,379,638"
3-Aug-2015,Wk27,AUG,Q3,2015,"50,593","$2,594,895"
4-Aug-2015,Wk27,AUG,Q3,2015,"50,161","$2,674,741"
5-Aug-2015,Wk27,AUG,Q3,2015,"49,513","$2,598,470"
6-Aug-2015,Wk27,AUG,Q3,2015,"49,522","$2,491,363"
7-Aug-2015,Wk27,AUG,Q3,2015,"56,172","$3,056,899"
8-Aug-2015,Wk27,AUG,Q3,2015,"55,320","$3,551,339"
9-Aug-2015,Wk28,AUG,Q3,2015,"47,126","$2,804,608"
10-Aug-2015,Wk28,AUG,Q3,2015,"45,969","$2,189,293"
11-Aug-2015,Wk28,AUG,Q3,2015,"46,488","$2,266,813"
12-Aug-2015,Wk28,AUG,Q3,2015,"62,164","$4,901,540"
13-Aug-2015,Wk28,AUG,Q3,2015,"61,714","$4,195,642"
14-Aug-2015,Wk28,AUG,Q3,2015,"68,231","$4,577,039"
15-Aug-2015,Wk28,AUG,Q3,2015,"68,526","$5,319,564"
16-Aug-2015,Wk29,AUG,Q3,2015,"55,363","$4,169,964"
17-Aug-2015,Wk29,AUG,Q3,2015,"54,369","$3,210,119"
18-Aug-2015,Wk29,AUG,Q3,2015,"61,723","$3,996,466"
19-Aug-2015,Wk29,AUG,Q3,2015,"49,951","$2,597,585"
20-Aug-2015,Wk29,AUG,Q3,2015,"49,170","$2,597,599"
21-Aug-2015,Wk29,AUG,Q3,2015,"56,218","$3,194,564"
22-Aug-2015,Wk29,AUG,Q3,2015,"55,678","$3,526,114"
23-Aug-2015,Wk30,AUG,Q3,2015,"46,463","$2,898,596"
24-Aug-2015,Wk30,AUG,Q3,2015,"44,784","$2,131,571"
25-Aug-2015,Wk30,AUG,Q3,2015,"47,517","$2,451,650"
26-Aug-2015,Wk30,AUG,Q3,2015,"59,066","$4,088,217"
27-Aug-2015,Wk30,AUG,Q3,2015,"57,566","$3,219,144"
28-Aug-2015,Wk30,AUG,Q3,2015,"56,621","$3,184,153"
29-Aug-2015,Wk30,AUG,Q3,2015,"60,334","$4,210,609"
30-Aug-2015,Wk31,SEP,Q3,2015,"52,293","$3,463,534"
31-Aug-2015,Wk31,SEP,Q3,2015,"48,673","$2,475,423"
1-Sep-2015,Wk31,SEP,Q3,2015,"52,904","$2,868,229"
2-Sep-2015,Wk31,SEP,Q3,2015,"56,671","$3,199,341"
3-Sep-2015,Wk31,SEP,Q3,2015,"56,545","$3,107,187"
4-Sep-2015,Wk31,SEP,Q3,2015,"67,060","$4,283,318"
5-Sep-2015,Wk31,SEP,Q3,2015,"64,216","$4,814,017"
6-Sep-2015,Wk32,SEP,Q3,2015,"50,841","$3,725,727"
7-Sep-2015,Wk32,SEP,Q3,2015,"45,002","$3,367,955"
8-Sep-2015,Wk32,SEP,Q3,2015,"45,831","$2,224,313"
9-Sep-2015,Wk32,SEP,Q3,2015,"45,501","$2,164,981"
10-Sep-2015,Wk32,SEP,Q3,2015,"45,691","$2,178,724"
11-Sep-2015,Wk32,SEP,Q3,2015,"51,752","$2,640,168"
12-Sep-2015,Wk32,SEP,Q3,2015,"58,929","$3,671,677"
13-Sep-2015,Wk33,SEP,Q3,2015,"47,214","$2,716,645"
14-Sep-2015,Wk33,SEP,Q3,2015,"47,950","$2,209,606"
15-Sep-2015,Wk33,SEP,Q3,2015,"48,914","$2,335,183"
16-Sep-2015,Wk33,SEP,Q3,2015,"52,161","$3,324,875"
17-Sep-2015,Wk33,SEP,Q3,2015,"49,239","$2,660,127"
18-Sep-2015,Wk33,SEP,Q3,2015,"72,081","$5,299,835"
